Carro ID;Origem (x,y);Destino(x,y);Entrada;Saida;Total
1;(5,15);(16,5);15:54:37;15:54:44;7
2;(26,13);(17,5);15:54:38;15:54:46;8
4;(26,13);(17,5);15:54:38;15:54:46;8
3;(26,14);(15,26);15:54:38;15:54:48;10
5;(5,15);(26,15);15:54:44;15:54:53;9
6;(26,14);(5,14);15:54:46;15:54:54;8
7;(15,5);(15,26);15:54:47;15:54:54;7
8;(5,15);(26,15);15:54:48;15:54:54;6
11;(5,15);(26,15);15:54:54;15:55:01;7
12;(26,14);(5,14);15:54:55;15:55:01;6
10;(16,26);(16,5);15:54:54;15:55:02;8
9;(15,5);(26,15);15:54:54;15:55:02;8
13;(5,15);(26,15);15:55:01;15:55:07;6
14;(17,26);(26,16);15:55:01;15:55:07;6
15;(16,26);(16,5);15:55:02;15:55:08;6
16;(26,14);(15,26);15:55:02;15:55:12;10
17;(17,26);(26,16);15:55:07;15:55:13;6
19;(16,26);(16,5);15:55:08;15:55:15;7
18;(26,14);(15,26);15:55:08;15:55:18;10
20;(14,5);(5,13);15:55:12;15:55:19;7
21;(15,5);(26,15);15:55:13;15:55:20;7
22;(5,15);(26,15);15:55:15;15:55:23;8
23;(14,5);(5,13);15:55:18;15:55:25;7
24;(15,5);(15,26);15:55:19;15:55:26;7
25;(17,26);(26,16);15:55:20;15:55:26;6
27;(14,5);(5,13);15:55:22;15:55:27;5
26;(5,15);(26,15);15:55:21;15:55:29;8
28;(5,15);(26,15);15:55:22;15:55:30;8
32;(26,13);(17,5);15:55:25;15:55:30;5
29;(17,26);(26,16);15:55:22;15:55:31;9
33;(26,14);(5,14);15:55:25;15:55:31;6
35;(17,26);(26,16);15:55:25;15:55:31;6
34;(26,14);(15,26);15:55:25;15:55:32;7
39;(17,26);(26,16);15:55:27;15:55:33;6
36;(15,5);(15,26);15:55:26;15:55:33;7
38;(16,26);(5,14);15:55:26;15:55:34;8
40;(15,5);(15,26);15:55:27;15:55:34;7
37;(5,16);(14,26);15:55:26;15:55:35;9
42;(5,15);(16,5);15:55:30;15:55:36;6
43;(14,5);(5,13);15:55:30;15:55:37;7
41;(16,26);(16,5);15:55:29;15:55:38;9
44;(15,5);(15,26);15:55:31;15:55:39;8
46;(16,26);(16,5);15:55:32;15:55:39;7
45;(16,26);(5,14);15:55:31;15:55:39;8
50;(14,5);(5,13);15:55:34;15:55:39;5
47;(26,13);(17,5);15:55:32;15:55:40;8
51;(26,13);(17,5);15:55:34;15:55:40;6
52;(26,13);(17,5);15:55:35;15:55:40;5
49;(26,14);(15,26);15:55:33;15:55:42;9
53;(17,26);(26,16);15:55:36;15:55:43;7
57;(14,5);(5,13);15:55:39;15:55:44;5
54;(15,5);(15,26);15:55:37;15:55:45;8
55;(15,5);(26,15);15:55:38;15:55:45;7
58;(26,13);(17,5);15:55:39;15:55:45;6
59;(26,13);(17,5);15:55:40;15:55:45;5
61;(26,13);(17,5);15:55:40;15:55:45;5
60;(5,16);(14,26);15:55:40;15:55:46;6
62;(26,13);(17,5);15:55:41;15:55:46;5
56;(26,14);(5,14);15:55:39;15:55:46;7
30;(16,26);(5,14);15:55:23;15:55:47;24
63;(17,26);(26,16);15:55:42;15:55:48;6
64;(5,16);(14,26);15:55:43;15:55:50;7
31;(15,5);(26,15);15:55:23;15:55:50;27
67;(26,13);(17,5);15:55:45;15:55:50;5
65;(14,5);(5,13);15:55:44;15:55:51;7
66;(17,26);(26,16);15:55:45;15:55:51;6
69;(17,26);(26,16);15:55:46;15:55:51;5
68;(16,26);(16,5);15:55:45;15:55:52;7
74;(14,5);(5,13);15:55:47;15:55:52;5
71;(26,13);(17,5);15:55:46;15:55:53;7
72;(16,26);(5,14);15:55:46;15:55:54;8
73;(5,16);(14,26);15:55:47;15:55:54;7
48;(16,26);(5,14);15:55:33;15:55:54;21
75;(26,14);(5,14);15:55:48;15:55:55;7
76;(14,5);(5,13);15:55:50;15:55:55;5
79;(26,13);(17,5);15:55:51;15:55:57;6
80;(5,16);(14,26);15:55:51;15:55:57;6
78;(5,15);(16,5);15:55:51;15:55:58;7
84;(26,13);(17,5);15:55:53;15:55:58;5
77;(26,14);(15,26);15:55:50;15:55:59;9
83;(14,5);(5,13);15:55:52;15:55:59;7
81;(15,5);(15,26);15:55:52;15:56:01;9
82;(15,5);(26,15);15:55:52;15:56:01;9
85;(16,26);(5,14);15:55:54;15:56:01;7
86;(26,13);(17,5);15:55:54;15:56:01;7
87;(26,13);(17,5);15:55:54;15:56:01;7
88;(26,14);(5,14);15:55:55;15:56:02;7
89;(5,15);(16,5);15:55:55;15:56:02;7
90;(14,5);(5,13);15:55:57;15:56:03;6
92;(14,5);(5,13);15:55:58;15:56:04;6
91;(26,14);(5,14);15:55:57;15:56:04;7
94;(14,5);(5,13);15:55:59;15:56:04;5
93;(17,26);(26,16);15:55:58;15:56:04;6
95;(14,5);(5,13);15:55:59;15:56:05;6
97;(5,16);(14,26);15:56:01;15:56:07;6
96;(5,15);(16,5);15:56:01;15:56:07;6
70;(16,26);(5,14);15:55:46;15:56:07;21
101;(14,5);(5,13);15:56:02;15:56:07;5
98;(5,15);(26,15);15:56:01;15:56:08;7
102;(14,5);(5,13);15:56:02;15:56:08;6
100;(15,5);(15,26);15:56:02;15:56:08;6
