Carro ID;Origem (x,y);Destino (x,y);Entrada;Saida;Total
1;(17,26);(26,16);15:54:37;15:54:43;6
2;(26,13);(17,5);15:54:38;15:54:43;5
3;(5,15);(16,5);15:54:38;15:54:50;12
4;(15,5);(26,15);15:54:38;15:54:53;15
6;(17,26);(26,16);15:54:44;15:54:55;11
7;(17,26);(26,16);15:54:50;15:54:56;6
5;(16,26);(5,14);15:54:43;15:54:59;16
9;(14,5);(5,13);15:54:55;15:55:01;6
8;(26,13);(17,5);15:54:53;15:55:04;11
12;(26,13);(17,5);15:55:01;15:55:06;5
10;(26,14);(15,26);15:54:56;15:55:09;13
13;(17,26);(26,16);15:55:04;15:55:10;6
11;(5,15);(26,15);15:54:59;15:55:14;15
15;(5,16);(14,26);15:55:09;15:55:15;6
14;(26,13);(17,5);15:55:07;15:55:16;9
16;(15,5);(15,26);15:55:10;15:55:17;7
17;(26,13);(17,5);15:55:14;15:55:19;5
18;(26,14);(5,14);15:55:15;15:55:21;6
19;(17,26);(26,16);15:55:16;15:55:22;6
20;(5,16);(14,26);15:55:17;15:55:23;6
23;(5,16);(14,26);15:55:22;15:55:27;5
22;(26,13);(17,5);15:55:21;15:55:28;7
24;(26,13);(17,5);15:55:22;15:55:28;6
25;(26,13);(17,5);15:55:22;15:55:28;6
33;(14,5);(5,13);15:55:26;15:55:31;5
21;(26,14);(5,14);15:55:19;15:55:32;13
31;(26,14);(15,26);15:55:25;15:55:33;8
36;(26,13);(17,5);15:55:28;15:55:33;5
38;(26,13);(17,5);15:55:28;15:55:34;6
27;(5,16);(14,26);15:55:23;15:55:35;12
30;(5,16);(14,26);15:55:25;15:55:35;10
37;(5,16);(14,26);15:55:28;15:55:35;7
26;(16,26);(5,14);15:55:22;15:55:35;13
28;(16,26);(5,14);15:55:23;15:55:36;13
32;(16,26);(5,14);15:55:25;15:55:36;11
34;(14,5);(5,13);15:55:26;15:55:37;11
35;(14,5);(5,13);15:55:27;15:55:37;10
29;(5,15);(16,5);15:55:23;15:55:38;15
39;(5,15);(16,5);15:55:31;15:55:38;7
42;(5,15);(26,15);15:55:33;15:55:40;7
43;(26,13);(17,5);15:55:34;15:55:40;6
47;(26,13);(17,5);15:55:36;15:55:41;5
40;(15,5);(26,15);15:55:32;15:55:41;9
41;(15,5);(26,15);15:55:33;15:55:42;9
44;(17,26);(26,16);15:55:35;15:55:43;8
50;(15,5);(26,15);15:55:37;15:55:44;7
53;(26,13);(17,5);15:55:38;15:55:44;6
46;(26,14);(5,14);15:55:35;15:55:44;9
48;(26,14);(5,14);15:55:36;15:55:44;8
49;(26,14);(5,14);15:55:36;15:55:45;9
45;(5,16);(14,26);15:55:35;15:55:46;11
51;(16,26);(16,5);15:55:37;15:55:46;9
52;(14,5);(5,13);15:55:38;15:55:47;9
54;(5,15);(26,15);15:55:40;15:55:48;8
56;(16,26);(5,14);15:55:41;15:55:48;7
59;(5,15);(26,15);15:55:43;15:55:50;7
57;(15,5);(26,15);15:55:42;15:55:51;9
65;(26,13);(17,5);15:55:46;15:55:51;5
60;(17,26);(26,16);15:55:44;15:55:51;7
66;(26,13);(17,5);15:55:46;15:55:51;5
61;(17,26);(26,16);15:55:44;15:55:51;7
67;(26,13);(17,5);15:55:47;15:55:52;5
55;(26,14);(15,26);15:55:40;15:55:53;13
62;(26,14);(5,14);15:55:44;15:55:53;9
58;(26,14);(15,26);15:55:42;15:55:53;11
63;(5,16);(14,26);15:55:45;15:55:53;8
64;(5,16);(14,26);15:55:45;15:55:54;9
69;(5,15);(16,5);15:55:48;15:55:56;8
72;(14,5);(5,13);15:55:51;15:55:56;5
